date,time,num_climbers
23/02/2021,15:30,4
23/02/2021,16:30,17
23/02/2021,17:30,28
23/02/2021,18:30,27
23/02/2021,19:30,27
23/02/2021,20:30,19
24/02/2021,10:30,0
24/02/2021,11:30,5
24/02/2021,12:30,5
24/02/2021,13:30,5
24/02/2021,14:30,2
24/02/2021,15:30,5
24/02/2021,16:30,24
24/02/2021,17:30,30
24/02/2021,18:30,30
24/02/2021,19:30,39
24/02/2021,20:30,66
25/02/2021,10:30,4
25/02/2021,11:30,5
25/02/2021,12:30,5
25/02/2021,13:30,4
25/02/2021,14:30,3
25/02/2021,15:30,3
25/02/2021,16:30,15
25/02/2021,17:30,32
25/02/2021,18:30,32
25/02/2021,19:30,29
25/02/2021,20:30,22
26/02/2021,10:30,0
26/02/2021,11:30,13
26/02/2021,12:30,13
26/02/2021,13:30,4
26/02/2021,14:30,3
26/02/2021,15:30,5
26/02/2021,16:30,25
26/02/2021,17:30,27
26/02/2021,18:30,27
26/02/2021,19:30,28
26/02/2021,20:30,10
27/02/2021,09:30,11
27/02/2021,10:30,24
27/02/2021,11:30,22
27/02/2021,12:30,18
27/02/2021,13:30,43
27/02/2021,14:30,50
27/02/2021,15:30,54
27/02/2021,16:30,27
27/02/2021,17:30,24
27/02/2021,18:30,28
27/02/2021,19:30,23
27/02/2021,20:30,11
