date,time,num_climbers
23/02/2021,15:30,7
23/02/2021,16:30,7
23/02/2021,17:30,25
23/02/2021,18:30,25
23/02/2021,19:30,25
23/02/2021,20:30,25
23/02/2021,21:30,25
24/02/2021,12:30,25
24/02/2021,13:30,16
24/02/2021,14:30,13
24/02/2021,15:30,11
24/02/2021,16:30,11
24/02/2021,17:30,26
24/02/2021,18:30,41
24/02/2021,19:30,48
24/02/2021,20:30,48
24/02/2021,21:30,16
25/02/2021,12:30,7
25/02/2021,13:30,13
25/02/2021,14:30,13
25/02/2021,15:30,13
25/02/2021,16:30,13
25/02/2021,17:30,34
25/02/2021,18:30,26
25/02/2021,19:30,8
25/02/2021,20:30,11
25/02/2021,21:30,9
26/02/2021,12:30,5
26/02/2021,13:30,13
26/02/2021,14:30,13
26/02/2021,15:30,7
26/02/2021,16:30,21
26/02/2021,17:30,20
26/02/2021,18:30,16
26/02/2021,19:30,9
26/02/2021,20:30,17
26/02/2021,21:30,17
27/02/2021,10:30,17
27/02/2021,11:30,14
27/02/2021,12:30,28
27/02/2021,13:30,38
27/02/2021,14:30,54
27/02/2021,15:30,44
27/02/2021,16:30,25
27/02/2021,17:30,12
